dateday,season,holiday,atemp,humidity,count
2011-01-01,Spring,0,0.2879,0.81,16
2011-01-01,Spring,0,0.2727,0.8,40
2011-01-01,Spring,0,0.2727,0.8,32
2011-01-01,Spring,0,0.2879,0.75,13
2011-01-01,Spring,0,0.2879,0.75,1
2011-01-01,Spring,0,0.2576,0.75,1
2011-01-01,Spring,0,0.2727,0.8,2
2011-01-01,Spring,0,0.2576,0.86,3
2011-01-01,Spring,0,0.2879,0.75,8
2011-01-01,Spring,0,0.3485,0.76,14
2011-01-01,Spring,0,0.3939,0.76,36
2011-01-01,Spring,0,0.3333,0.81,56
2011-01-01,Spring,0,0.4242,0.77,84
2011-01-01,Spring,0,0.4545,0.72,94
2011-01-01,Spring,0,0.4545,0.72,106
2011-01-01,Spring,0,0.4394,0.77,110
2011-01-01,Spring,0,0.4242,0.82,93
2011-01-01,Spring,0,0.4394,0.82,67
2011-01-01,Spring,0,0.4242,0.88,35
2011-01-01,Spring,0,0.4242,0.88,37
2011-01-01,Spring,0,0.4091,0.87,36
2011-01-01,Spring,0,0.4091,0.87,34
2011-01-01,Spring,0,0.4091,0.94,28
2011-01-01,Spring,0,0.4545,0.88,39
2011-01-02,Spring,0,0.4545,0.88,17
2011-01-02,Spring,0,0.4394,0.94,17
2011-01-02,Spring,0,0.4242,1.0,9
2011-01-02,Spring,0,0.4545,0.94,6
2011-01-02,Spring,0,0.4545,0.94,3
2011-01-02,Spring,0,0.4242,0.77,2
2011-01-02,Spring,0,0.4091,0.76,1
2011-01-02,Spring,0,0.4091,0.71,8
2011-01-02,Spring,0,0.3939,0.76,20
2011-01-02,Spring,0,0.3485,0.81,53
2011-01-02,Spring,0,0.3333,0.71,70
2011-01-02,Spring,0,0.3333,0.66,93
2011-01-02,Spring,0,0.3485,0.66,75
2011-01-02,Spring,0,0.3485,0.76,59
2011-01-02,Spring,0,0.3333,0.81,74
2011-01-02,Spring,0,0.3333,0.71,76
2011-01-02,Spring,0,0.3333,0.57,65
2011-01-02,Spring,0,0.3333,0.46,53
2011-01-02,Spring,0,0.2879,0.42,30
2011-01-02,Spring,0,0.2727,0.39,22
2011-01-02,Spring,0,0.2273,0.44,31
2011-01-02,Spring,0,0.2121,0.44,9
2011-01-02,Spring,0,0.2273,0.47,8
2011-01-03,Spring,0,0.197,0.44,5
2011-01-03,Spring,0,0.1667,0.44,2
2011-01-03,Spring,0,0.1364,0.47,1
2011-01-03,Spring,0,0.1364,0.47,3
2011-01-03,Spring,0,0.1061,0.5,30
2011-01-03,Spring,0,0.1364,0.5,64
2011-01-03,Spring,0,0.1212,0.5,154
2011-01-03,Spring,0,0.1364,0.43,88
2011-01-03,Spring,0,0.1667,0.43,44
2011-01-03,Spring,0,0.1818,0.4,51
2011-01-03,Spring,0,0.2121,0.35,61
2011-01-03,Spring,0,0.2121,0.35,61
2011-01-03,Spring,0,0.2424,0.3,77
2011-01-03,Spring,0,0.2424,0.3,72
2011-01-03,Spring,0,0.2424,0.3,76
2011-01-03,Spring,0,0.2273,0.3,157
2011-01-03,Spring,0,0.2576,0.32,157
2011-01-03,Spring,0,0.2576,0.47,110
2011-01-03,Spring,0,0.2273,0.47,52
2011-01-03,Spring,0,0.197,0.64,52
2011-01-03,Spring,0,0.1515,0.69,20
2011-01-03,Spring,0,0.2121,0.55,12
2011-01-04,Spring,0,0.1818,0.55,5
2011-01-04,Spring,0,0.1818,0.59,2
2011-01-04,Spring,0,0.1515,0.63,1
2011-01-04,Spring,0,0.1818,0.63,2
2011-01-04,Spring,0,0.1515,0.68,4
2011-01-04,Spring,0,0.1515,0.74,36
2011-01-04,Spring,0,0.1515,0.74,94
2011-01-04,Spring,0,0.1515,0.69,179
2011-01-04,Spring,0,0.1515,0.64,100
2011-01-04,Spring,0,0.1364,0.69,42
2011-01-04,Spring,0,0.2121,0.51,57
2011-01-04,Spring,0,0.2273,0.51,78
